Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Vehicle_or_Property_Age,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score
PLCY100142,56,Other,Property,30194.22,7.2,0,0,588.68,1035.9,Medium
PLCY100143,26,Male,Health,23634.04,2.5,4,0,211.58,382.77,Low
PLCY100144,23,Male,Health,5238.91,9.1,0,0,269.89,381.99,Low
PLCY100145,43,Female,Health,20950.61,2.1,0,0,989.82,898.68,High
PLCY100146,37,Male,Health,15159.67,16.6,0,0,336.84,179.45,Low
PLCY100147,34,Female,Health,10084.22,9.2,7,0,273.55,218.06,Low
PLCY100148,18,Male,Health,39433.45,,0,0,549.21,983.2,Medium
PLCY100149,38,Male,Health,12886.44,1.3,4,0,453.93,541.74,Medium
PLCY100150,38,Female,Auto,15305.97,0.4,1,0,275.86,451.07,Low
PLCY100151,26,Female,Life,19036.14,29.4,1,0,221.84,265.3,Low
PLCY100152,41,Female,Health,15125.0,10.5,5,0,345.96,472.72,Low
PLCY100153,29,Female,Auto,28067.47,11.0,0,1,557.68,1377.0,Medium
PLCY100154,26,Male,Auto,27222.51,0.6,2,0,596.02,1177.83,Medium
PLCY100155,43,Female,Auto,39882.5,8.9,2,0,429.48,335.47,Low
PLCY100156,25,Male,Life,38946.31,4.3,0,0,250.03,392.05,Low
PLCY100157,31,Male,Health,49399.12,7.4,1,0,283.88,342.62,Low
PLCY100158,23,Female,Health,39888.35,1.3,2,0,343.56,529.5,Low
PLCY100159,21,Male,Health,28479.9,14.3,1,0,608.98,542.25,Medium
PLCY100160,36,Male,Life,13530.96,5.5,0,0,973.23,1566.76,High
PLCY100161,36,Male,Property,31869.52,0.1,5,0,630.77,1100.12,Medium
PLCY100162,42,Male,Health,,0.1,0,0,247.32,399.37,Low
PLCY100163,25,Female,Auto,20905.66,,0,1,291.56,1310.54,Low
PLCY100164,26,Male,Property,24814.53,7.7,2,0,464.84,453.41,Medium
PLCY100165,46,Female,Auto,49322.67,6.3,1,0,365.75,240.06,Low
PLCY100166,39,Female,Auto,29020.06,7.0,0,0,269.41,191.29,Low
PLCY100167,37,Male,Health,,1.6,0,0,338.0,280.07,Low
PLCY100168,41,Male,Health,43054.64,18.8,0,0,284.05,358.22,Low
PLCY100169,28,Other,Health,15456.68,3.8,0,0,924.31,1304.99,High
PLCY100170,32,Male,Health,23703.94,6.5,1,0,192.41,131.13,Low
PLCY100171,29,Male,Health,23964.46,7.9,0,0,322.1,468.38,Low
PLCY100172,30,Female,Health,,5.3,0,0,293.57,400.96,Low
PLCY100173,18,Male,Auto,35765.13,8.3,0,0,621.36,596.18,Medium
PLCY100174,41,Female,Auto,25088.4,2.7,0,0,351.63,373.37,Low
PLCY100175,51,Female,Health,42410.63,2.9,0,0,369.78,560.47,Low
PLCY100176,37,Female,Health,25338.51,4.7,0,1,,447.41,Low
PLCY100177,36,Female,Auto,29157.27,0.9,4,0,285.23,400.58,Low
PLCY100178,36,Male,Health,27552.77,5.5,0,0,331.9,385.22,Low
PLCY100179,44,Male,Health,8187.39,6.1,0,0,337.4,416.13,Low
PLCY100180,51,Female,Health,58640.08,3.5,0,0,312.69,406.52,Low
PLCY100181,43,Male,Life,30055.05,20.2,0,1,281.52,898.59,Low
PLCY100182,27,Female,Health,15884.78,5.0,0,0,297.26,517.61,Low
PLCY100183,41,Male,Health,19981.18,13.1,2,0,356.69,418.21,Low
PLCY100184,37,Female,Auto,18137.57,,0,0,268.66,219.24,Low
PLCY100185,48,Female,Life,31651.72,9.4,0,0,625.81,931.09,Medium
PLCY100186,37,Male,Auto,14172.56,3.7,0,0,205.32,126.33,Low
PLCY100187,40,Male,Health,9859.79,1.9,0,1,561.86,1639.43,Medium
PLCY100188,45,Female,Auto,11853.41,,1,0,149.02,205.47,Low
PLCY100189,40,Male,Auto,27950.18,5.6,0,0,325.27,295.06,Low
PLCY100190,31,Female,Health,,0.0,0,0,283.61,498.87,Low
PLCY100191,39,Male,Health,11238.09,12.9,0,0,559.04,643.3,Medium
PLCY100192,41,Male,Health,16458.88,7.0,1,0,348.27,678.8,Low
PLCY100193,52,Male,Health,29968.0,0.3,0,0,1060.19,1218.26,High
PLCY100194,31,Female,Auto,20457.6,12.1,2,0,351.96,289.88,Low
PLCY100195,37,Male,Auto,14259.35,7.2,0,0,656.27,1204.47,Medium
PLCY100196,38,Male,Life,13345.12,0.1,0,0,288.57,357.62,Low
PLCY100197,26,Male,Auto,22275.28,7.9,0,0,,804.24,Medium
PLCY100198,46,Male,Health,29611.17,0.1,0,0,538.04,270.11,Medium
PLCY100199,20,Female,Health,24020.69,10.6,0,0,312.2,186.86,Low
PLCY100200,35,Male,Property,50550.85,20.0,1,0,936.99,743.74,High
PLCY100201,30,Female,Health,28257.41,3.4,1,0,357.01,669.83,Low
PLCY100202,34,Male,Health,23762.86,,0,1,219.62,714.23,Low
PLCY100203,40,Female,Auto,7288.62,0.3,0,0,376.67,216.57,Low
PLCY100204,32,Female,Health,29562.93,,9,1,520.09,1575.61,Medium
PLCY100205,43,Other,Health,27253.67,9.9,0,0,300.96,262.14,Low
PLCY100206,55,Male,Health,26312.69,0.1,0,0,937.48,921.08,High
PLCY100207,45,Male,Health,,0.9,0,0,287.65,572.39,Low
PLCY100208,55,Female,Property,16314.15,6.0,0,0,501.49,744.69,Medium
PLCY100209,48,Male,Auto,17970.41,21.0,0,0,334.32,426.27,Low
PLCY100210,35,Female,Auto,34920.35,,0,0,344.34,279.13,Low
PLCY100211,32,Male,Auto,27401.95,2.8,1,0,620.21,451.14,Medium
PLCY100212,31,Male,Life,,0.0,0,0,245.64,207.72,Low
PLCY100213,24,Male,Auto,30734.97,3.8,0,0,323.13,557.45,Low
PLCY100214,30,Female,Auto,,0.6,0,0,620.92,1197.34,Medium
PLCY100215,54,Male,Auto,18178.85,5.0,0,0,312.51,544.16,Low
PLCY100216,40,Female,Life,28250.64,2.2,2,0,321.98,512.14,Low
PLCY100217,47,Male,Health,31187.38,3.4,0,0,642.46,999.38,Medium
PLCY100218,48,Male,Property,29366.28,0.4,0,0,624.6,830.13,Medium
PLCY100219,31,Male,Health,31155.29,7.8,1,0,,380.68,Low
PLCY100220,33,Male,Health,23663.62,2.6,0,0,568.54,342.56,Medium
PLCY100221,56,Female,Health,20374.73,20.2,1,0,572.59,457.21,Medium
PLCY100222,26,Male,Property,13649.04,0.5,0,1,288.48,1177.75,Low
PLCY100223,26,Male,Health,21126.45,,0,1,527.52,1905.79,Medium
PLCY100224,31,Female,Auto,19228.95,7.3,0,1,340.57,1353.15,Low
PLCY100225,24,Female,Life,,1.6,0,0,617.03,686.28,Medium
PLCY100226,44,Male,Life,21352.08,1.5,1,0,998.82,638.18,High
PLCY100227,35,Male,Auto,52827.75,7.1,0,0,,534.52,Medium
PLCY100228,28,Male,Health,15595.37,0.5,0,0,571.0,1100.45,Medium
PLCY100229,40,Female,Auto,28032.63,9.5,1,0,238.12,251.61,Low
PLCY100230,28,Female,Auto,11042.18,10.8,0,0,569.71,663.04,Medium
PLCY100231,58,Female,Health,18150.16,2.5,0,0,297.73,562.91,Low
PLCY100232,22,Male,Health,33077.3,0.5,0,0,628.53,418.38,Medium
PLCY100233,49,Male,Auto,11208.89,12.3,1,0,233.88,451.21,Low
PLCY100234,35,Female,Auto,14390.11,1.5,2,0,621.0,719.62,Medium
PLCY100235,45,Male,Auto,17877.83,,0,0,,744.67,Medium
PLCY100236,29,Male,Health,11739.89,5.1,1,0,231.12,191.67,Low
PLCY100237,31,Male,Auto,56133.19,8.5,0,0,319.48,576.91,Low
PLCY100238,26,Male,Health,,8.2,0,0,301.91,340.83,Low
PLCY100239,20,Male,Auto,45802.26,2.0,0,0,649.84,1139.93,Medium
PLCY100240,51,Male,Health,16109.45,,2,0,361.87,670.42,Low
PLCY100241,32,Male,Auto,16263.03,3.3,2,1,310.56,1073.52,Low
PLCY100242,30,Male,Auto,,9.0,1,0,632.58,775.53,Medium
PLCY100243,24,Male,Health,27684.84,10.7,1,0,672.79,478.01,Medium
PLCY100244,32,Female,Auto,17331.02,16.7,1,0,309.53,448.38,Low
PLCY100245,49,Male,Health,12774.21,1.7,0,0,960.76,751.2,High
PLCY100246,44,Female,Health,36875.04,8.3,0,0,941.22,740.17,High
PLCY100247,27,Male,Auto,29031.88,,0,0,331.28,348.68,Low
PLCY100248,42,Male,Auto,10072.85,,2,0,616.75,538.74,Medium
PLCY100249,41,Other,Health,32157.29,,10,0,330.62,369.23,Low
PLCY100250,42,Male,Auto,45056.99,1.8,0,0,619.34,833.07,Medium
PLCY100251,51,Female,Property,18477.2,8.6,0,0,378.17,715.6,Low
PLCY100252,45,Female,Health,34290.23,4.2,1,0,698.13,1079.1,Medium
PLCY100253,38,Female,Auto,29185.88,4.3,1,0,556.01,293.97,Medium
PLCY100254,42,Female,Auto,27768.13,4.7,0,0,319.32,439.0,Low
PLCY100255,35,Male,Auto,24282.53,14.9,2,0,562.09,1008.67,Medium
PLCY100256,48,Other,Health,16061.99,15.9,1,0,974.18,1912.33,High
PLCY100257,35,Male,Health,20163.17,2.2,0,0,222.57,436.15,Low
PLCY100258,48,Male,Health,15916.59,1.9,0,0,277.19,226.12,Low
PLCY100259,40,Female,Health,21682.93,2.5,0,0,557.58,764.47,Medium
PLCY100260,36,Male,Auto,9062.29,2.6,2,0,386.94,526.79,Low
PLCY100261,34,Male,Auto,19159.58,1.5,0,0,642.26,786.62,Medium
PLCY100262,18,Male,Life,13873.93,0.9,0,0,1095.21,1351.97,High
PLCY100263,57,Male,Auto,24548.05,1.4,0,0,245.13,426.17,Low
PLCY100264,24,Male,Life,24594.32,3.2,0,0,273.44,412.66,Low
PLCY100265,43,Male,Health,28779.21,9.7,0,0,,231.57,Low
PLCY100266,26,Male,Property,15773.87,4.4,0,0,462.62,645.52,Medium
PLCY100267,32,Female,Health,,6.7,3,0,193.47,111.32,Low
PLCY100268,34,Male,Auto,25429.48,1.9,0,0,524.14,398.47,Medium
PLCY100269,47,Female,Health,,7.9,0,0,1037.9,621.96,High
PLCY100270,29,Male,Health,31968.38,22.8,1,0,1078.91,1053.37,High
PLCY100271,49,Female,Health,34133.12,30.0,0,0,373.63,434.98,Low
PLCY100272,45,Male,Health,20025.23,1.2,0,1,304.26,719.06,Low
PLCY100273,18,Female,Auto,13705.35,3.6,2,1,687.37,1786.18,Medium
PLCY100274,31,Male,Life,12987.22,0.9,1,0,204.39,284.94,Low
PLCY100275,37,Male,Property,41433.85,7.5,3,0,557.68,828.46,Medium
PLCY100276,36,Female,Auto,23079.18,0.9,7,0,375.82,206.2,Low
PLCY100277,45,Male,Auto,26032.17,,7,1,292.24,879.44,Low
PLCY100278,33,Male,Auto,56604.5,2.0,0,0,295.32,303.07,Low
PLCY100279,53,Male,Health,10304.41,12.9,0,0,158.39,274.88,Low
PLCY100280,40,Male,Health,27573.47,4.5,0,0,302.95,476.28,Low
PLCY100281,43,Female,Property,16427.87,3.1,0,0,311.21,535.91,Low
PLCY100282,34,Male,Auto,14885.21,7.5,0,0,315.87,177.79,Low
PLCY100283,34,Female,Health,52969.23,22.2,0,1,600.92,2828.81,Medium
PLCY100284,40,Female,Auto,49807.88,9.2,2,0,360.03,412.94,Low
PLCY100285,39,Female,Auto,8303.64,6.0,0,0,307.18,156.53,Low
PLCY100286,27,Female,Life,41761.6,20.5,0,0,682.47,1045.59,Medium
PLCY100287,50,Female,Health,27592.57,,0,0,206.51,337.83,Low
PLCY100288,50,Male,Health,50397.84,,2,0,,1936.11,High
PLCY100289,33,Female,Health,22841.64,0.1,1,0,279.43,386.32,Low
PLCY100290,49,Male,Property,13219.11,3.3,0,0,321.61,269.02,Low
PLCY100291,43,Male,Auto,33556.7,0.6,0,0,581.54,720.41,Medium
PLCY100292,23,Female,Life,23264.97,,0,0,242.28,368.16,Low
PLCY100293,18,Female,Health,11400.75,15.2,2,0,338.8,378.42,Low
PLCY100294,49,Male,Health,28597.41,9.4,0,0,644.65,1159.82,Medium
PLCY100295,59,Male,Auto,31456.35,13.3,0,0,,1571.55,High
PLCY100296,26,Female,Health,15701.36,14.0,0,1,345.02,909.18,Low
PLCY100297,43,Female,Auto,9620.85,10.2,0,0,573.78,825.09,Medium
PLCY100298,41,Female,Health,13440.98,9.3,0,0,,145.28,Low
PLCY100299,18,Female,Auto,11611.74,2.5,1,0,1009.47,1852.96,High
PLCY100300,18,Female,Auto,37397.69,1.1,1,0,330.16,557.4,Low
PLCY100301,41,Male,Health,14178.27,7.6,1,0,264.39,421.22,Low
PLCY100302,27,Male,Life,,17.5,1,0,344.07,233.05,Low
PLCY100303,46,Male,Health,39541.24,22.1,0,0,306.71,405.87,Low
PLCY100304,34,Male,Health,19814.45,1.4,8,0,363.85,360.36,Low
PLCY100305,42,Female,Health,26089.19,1.0,0,0,553.1,901.67,Medium
PLCY100306,23,Male,Health,27576.99,,1,0,597.3,823.29,Medium
PLCY100307,26,Male,Auto,10152.95,7.1,2,0,312.9,479.98,Low
PLCY100308,57,Male,Auto,29349.64,,0,0,635.3,337.6,Medium
PLCY100309,35,Female,Health,13597.58,9.9,0,0,381.42,334.25,Low
PLCY100310,30,Male,Auto,20275.82,1.2,1,0,942.33,633.92,High
PLCY100311,18,Female,Auto,16933.69,11.8,4,1,608.89,1236.05,Medium
PLCY100312,18,Male,Health,13200.18,1.2,1,0,408.25,738.06,Low
PLCY100313,52,Male,Health,33888.06,,0,0,306.95,352.73,Low
PLCY100314,44,Female,Health,46376.89,4.5,1,0,609.77,418.62,Medium
PLCY100315,36,Female,Health,27391.49,,3,0,473.39,811.63,Medium
PLCY100316,29,Male,Auto,,3.4,0,0,235.37,273.94,Low
PLCY100317,31,Female,Health,24991.33,12.2,1,0,669.23,750.35,Medium
PLCY100318,44,Female,Health,11635.87,0.4,1,0,634.77,393.66,Medium
PLCY100319,24,Male,Health,20664.5,,0,0,271.97,195.27,Low
PLCY100320,58,Female,Auto,,22.5,0,0,308.76,453.37,Low
PLCY100321,21,Male,Health,21042.52,0.9,0,0,295.96,587.26,Low
PLCY100322,49,Male,Health,7686.16,,1,0,281.93,282.79,Low
PLCY100323,37,Female,Auto,13873.25,1.9,0,0,220.12,333.77,Low
PLCY100324,35,Male,Life,18428.68,30.0,0,0,574.91,640.74,Medium
PLCY100325,21,Male,Auto,51845.33,12.5,2,0,512.62,788.45,Medium
PLCY100326,44,Other,Health,6331.96,7.9,0,0,270.91,407.4,Low
PLCY100327,23,Female,Auto,20916.31,5.6,0,0,238.05,128.02,Low
PLCY100328,48,Female,Life,12852.74,9.3,1,0,,382.51,Low
PLCY100329,19,Male,Health,30341.49,1.3,0,0,306.15,405.89,Low
PLCY100330,40,Female,Auto,37690.34,11.6,0,1,536.5,1309.48,Medium
PLCY100331,41,Female,Auto,57537.01,0.6,0,0,238.86,196.1,Low
PLCY100332,50,Female,Health,29793.94,1.2,2,0,362.96,688.76,Low
PLCY100333,51,Female,Health,26057.8,2.1,0,0,288.63,360.81,Low
PLCY100334,28,Male,Health,37835.1,26.3,1,0,1034.64,1590.74,High
PLCY100335,46,Female,Auto,11087.46,4.9,0,0,317.57,513.77,Low
PLCY100336,45,Female,Health,16040.26,9.7,2,0,593.81,599.07,Medium
PLCY100337,43,Male,Health,25067.58,2.5,2,0,610.64,439.69,Medium
PLCY100338,38,Female,Auto,7760.18,0.9,0,0,659.64,1073.72,Medium
PLCY100339,22,Female,Health,36854.34,7.9,0,0,643.62,373.59,Medium
PLCY100340,24,Female,Auto,18092.18,1.5,1,0,363.77,634.54,Low
PLCY100341,36,Female,Auto,34067.48,9.0,0,0,284.25,162.25,Low
PLCY100342,27,Female,Health,14494.72,10.5,0,0,321.2,338.45,Low
PLCY100343,38,Male,Life,111473.98,1.0,7,0,415.4,620.91,Low
PLCY100344,30,Female,Auto,29477.09,3.8,0,0,199.08,277.53,Low
PLCY100345,39,Male,Health,18300.96,1.7,0,0,932.6,1504.69,High
PLCY100346,41,Male,Health,23957.34,5.0,0,0,270.7,149.8,Low
PLCY100347,41,Male,Health,41209.39,,0,0,577.59,1035.14,Medium
PLCY100348,41,Male,Property,21782.46,9.8,0,1,251.23,382.98,Low
PLCY100349,53,Male,Life,14898.24,0.5,0,0,262.01,295.05,Low
PLCY100350,18,Male,Property,21098.67,0.4,0,0,323.22,221.0,Low
PLCY100351,31,Female,Health,24113.6,,4,0,365.16,275.04,Low
PLCY100352,36,Male,Health,24490.65,3.3,0,0,255.36,246.54,Low
