,Customer_Age,Annual_Income,Vehicle_or_Property_Age,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Claim_Income_Ratio,Premium_Income_Ratio,High_Claim,Claim_Premium_Diff,Gender_Male,Gender_Other,Policy_Type_Health,Policy_Type_Life,Policy_Type_Property,Age_Group_Adult,Age_Group_Mid-Age,Age_Group_Senior,Risk_Score_Label
24,59,26970.28,4.9,1,0,224.03,231.64,0.008588713205795417,0.008306550766250852,False,7.609999999999985,0,0,1,0,0,0,1,0,0
25,32,27499.13,4.5,0,0,338.73,257.37,0.00935920518212758,0.012317844237254051,False,-81.36000000000001,1,0,1,0,0,1,0,0,0
26,32,23514.45,4.9,2,0,609.95,329.23,0.014001177999060152,0.025939369196387754,False,-280.72,1,0,0,0,0,1,0,0,1
28,41,16133.45,13.0,0,0,617.85,891.81,0.055277079607895394,0.03829621066789806,True,273.9599999999999,1,0,1,0,0,0,1,0,1
30,47,33082.34,4.9,2,0,316.21,608.99,0.018408310899410384,0.009558271875568658,True,292.78000000000003,1,0,0,0,1,0,1,0,0
31,36,39302.97,11.0,1,0,339.58,199.11,0.005066029361139883,0.008640059517130639,False,-140.46999999999997,1,0,1,0,0,1,0,0,0
32,28,18756.71,6.7,0,0,276.45,173.41,0.009245224775560319,0.014738725501433887,False,-103.03999999999999,1,0,0,1,0,1,0,0,0
33,40,15379.3,4.9,0,0,289.33,192.92,0.012544133998296412,0.018812949874181528,False,-96.41,0,0,0,0,1,1,0,0,0
37,60,11383.08,18.9,2,0,391.57,416.9,0.0366245339574175,0.03439930141929952,False,25.329999999999984,0,0,0,1,0,0,1,0,0
38,18,43344.55,12.8,0,0,300.26,496.47,0.01145403516705099,0.006927283822302919,True,196.21000000000004,0,0,0,1,0,0,0,0,0
39,38,23391.96,1.8,1,0,625.72,419.44,0.017930947214342022,0.026749361746514617,False,-206.28000000000003,1,0,1,0,0,1,0,0,1
40,52,22782.76,14.6,0,0,351.03,517.05,0.022694792026953715,0.015407703017544846,True,166.01999999999998,0,0,0,0,0,0,1,0,0
41,54,12189.99,16.4,0,0,198.04,216.82,0.01778672500961855,0.016246116690825832,False,18.78,1,0,0,0,0,0,1,0,0
42,18,21423.12,4.7,0,0,618.33,477.86,0.02230580793087095,0.02886274268173824,True,-140.47000000000003,1,0,0,0,1,0,0,0,1
43,26,16896.66,1.4,0,0,260.36,210.76,0.012473471088368944,0.015408962481342468,False,-49.60000000000002,0,0,1,0,0,1,0,0,0
44,29,24513.76,0.4,0,0,573.47,605.42,0.024697149682464052,0.023393800053520965,True,31.949999999999932,0,0,0,0,1,1,0,0,1
45,31,29386.14,5.0,0,0,315.56,409.89,0.013948412414832299,0.010738395719886995,False,94.32999999999998,1,0,0,0,0,1,0,0,0
46,30,12825.95,6.3,1,0,603.87,833.5,0.06498543967503381,0.04708189256936133,True,229.63,1,0,0,1,0,1,0,0,1
48,30,14299.85,0.6,0,1,288.05,1409.47,0.09856536956681364,0.020143567939523842,True,1121.42,1,0,0,1,0,1,0,0,0
49,27,23148.06,5.9,0,0,637.57,628.34,0.027144391365842322,0.027543128884234793,True,-9.230000000000018,1,0,0,0,0,1,0,0,1
50,41,14014.41,1.2,0,0,256.98,152.92,0.010911625962134687,0.018336840437806517,False,-104.06000000000003,1,0,0,0,0,0,1,0,0
51,33,28707.17,4.5,0,0,372.08,649.63,0.022629538195510043,0.012961221882895458,True,277.55,1,0,0,0,0,1,0,0,0
52,39,20376.99,1.1,1,0,319.72,478.88,0.02350101756932697,0.01569024669492403,True,159.15999999999997,0,0,0,1,0,1,0,0,0
53,32,7950.08,4.3,0,0,549.6,466.24,0.05864595073257125,0.06913137981001449,False,-83.36000000000001,1,0,0,1,0,1,0,0,1
54,40,32384.42,6.9,0,0,331.64,610.5,0.018851657679834936,0.010240726868043337,True,278.86,1,0,0,0,1,1,0,0,0
55,65,22828.91,10.1,2,0,276.12,183.88,0.00805469906359962,0.01209518982728479,False,-92.24000000000001,1,0,0,0,0,0,0,1,0
56,32,26599.57,8.9,1,0,561.31,433.55,0.01629913566271936,0.021102220825374243,False,-127.75999999999993,1,0,0,0,0,1,0,0,1
57,23,25336.07,4.9,1,0,243.73,462.64,0.01826013268829775,0.009619881852236752,False,218.91,1,0,0,0,1,0,0,0,0
59,36,9449.98,0.4,0,0,676.48,676.65,0.0716033261446056,0.07158533668854326,True,0.16999999999995907,0,0,0,0,0,1,0,0,1
60,22,11527.15,1.8,0,0,165.16,309.22,0.026825364465631142,0.014327912797178835,False,144.06000000000003,0,0,0,0,0,0,0,0,0
62,31,16756.99,5.8,0,0,467.45,514.73,0.030717330499093212,0.02789582138558297,True,47.28000000000003,1,0,0,0,0,1,0,0,1
63,51,10897.01,4.9,0,0,261.11,410.98,0.037714932811844716,0.02396161882938531,False,149.87,0,0,0,0,1,0,1,0,0
64,46,12524.9,11.3,0,0,587.98,931.01,0.07433272920342678,0.04694488578751128,True,343.03,1,0,1,0,0,0,1,0,1
65,33,29630.24,0.1,0,0,284.52,219.69,0.007414384763673868,0.009602352191544853,False,-64.82999999999998,0,0,1,0,0,1,0,0,0
66,31,37216.39,6.2,0,0,495.9,466.99,0.012547966097732746,0.013324774380320068,False,-28.909999999999968,1,0,1,0,0,1,0,0,1
67,58,23321.1,3.9,0,0,307.52,445.97,0.019123025929308653,0.0131863419821535,False,138.45000000000005,0,0,0,0,0,0,1,0,0
69,18,25034.62,6.4,1,0,351.03,393.87,0.015733012923703257,0.014021782635406488,False,42.84000000000003,1,0,0,0,1,0,0,0,0
70,44,15323.27,2.0,0,0,251.21,339.03,0.022125173021163236,0.01639402033639034,False,87.81999999999996,1,0,0,0,0,0,1,0,0
71,50,16517.59,4.8,0,0,306.1,201.99,0.012228781559537438,0.01853175917309971,False,-104.11000000000001,0,0,1,0,0,0,1,0,0
73,35,26638.13,11.5,1,0,630.53,551.4,0.020699651214255654,0.023670205078209317,True,-79.13,1,0,0,0,0,1,0,0,1
74,43,24436.76,17.3,0,0,598.02,1072.29,0.043880203431224105,0.024472147698794768,True,474.27,1,0,0,0,0,0,1,0,1
75,46,17725.36,0.6,1,0,284.54,170.16,0.009599805025116556,0.016052706404834655,False,-114.38000000000002,1,0,0,0,0,0,1,0,0
76,50,10479.96,1.9,0,0,604.11,1153.01,0.11002045809335151,0.05764430398589308,True,548.9,0,0,0,0,0,0,1,0,1
80,30,16890.41,10.6,0,1,371.03,1460.4,0.0864632652493338,0.02196690311247625,True,1089.3700000000001,1,0,1,0,0,1,0,0,0
81,31,47750.87,0.7,2,0,389.79,714.53,0.014963706420427521,0.008162992632385546,True,324.73999999999995,1,0,0,0,0,1,0,0,0
83,40,30975.31,2.2,2,0,692.34,1229.51,0.039693226637602656,0.02235135015597907,True,537.17,0,0,1,0,0,1,0,0,1
84,50,39523.38,1.2,2,0,591.64,593.22,0.015009343836483622,0.014969367498427514,True,1.580000000000041,0,0,0,1,0,0,1,0,1
85,39,24234.91,7.0,0,0,602.32,1005.73,0.0414992257037472,0.024853403623120534,True,403.40999999999997,0,0,0,0,0,1,0,0,1
87,25,16656.22,9.9,0,0,318.86,393.14,0.023603194482301505,0.019143599207983565,False,74.27999999999997,1,0,0,1,0,0,0,0,0
88,20,7336.35,8.3,0,0,235.98,454.57,0.06196132954398304,0.03216585904434766,False,218.59,1,0,0,1,0,0,0,0,0
90,37,21921.825,14.2,1,0,632.14,440.52,0.020095042269519074,0.028836102833591636,False,-191.62,0,0,1,0,0,1,0,0,1
91,53,15706.09,1.6,0,0,390.05,352.41,0.022437793238164305,0.024834315860917645,False,-37.639999999999986,0,0,0,0,0,0,1,0,0
92,32,6555.5,8.3,2,0,551.65,476.11,0.07262756464037831,0.08415071314163679,True,-75.53999999999996,0,0,1,0,0,1,0,0,1
93,37,19722.55,2.8,0,0,301.34,165.68,0.008400536441788715,0.015278957335638646,False,-135.65999999999997,0,0,0,0,0,1,0,0,0
94,59,30346.04,1.3,0,0,602.98,942.81,0.031068633666863944,0.01987013791585327,True,339.8299999999999,0,0,1,0,0,0,1,0,1
95,30,42561.15,4.2,1,0,309.88,192.88,0.004531832434039024,0.0072808183049565154,False,-117.0,1,0,0,1,0,1,0,0,0
96,34,27230.23,1.4,1,0,686.38,578.4,0.021241098587856215,0.025206544344282072,True,-107.98000000000002,0,0,1,0,0,1,0,0,1
97,43,19366.73,14.2,1,0,351.03,526.33,0.02717701955880007,0.018125414047699327,True,175.30000000000007,1,0,0,0,0,0,1,0,1
101,51,22888.98,2.9,2,0,235.85,336.26,0.01469091239539726,0.010304085197330767,False,100.41,1,0,1,0,0,0,1,0,0
103,37,22909.74,0.3,0,1,900.09,1365.7,0.05961219987655905,0.0392885296821352,True,465.61,1,0,0,0,1,1,0,0,2
104,49,5176.44,1.1,0,0,330.64,646.36,0.12486573784299636,0.06387401380099064,True,315.72,1,0,0,0,0,0,1,0,0
105,25,34031.23,4.9,1,0,324.78,585.69,0.01721036824117142,0.009543586875937189,True,260.9100000000001,0,0,1,0,0,0,0,0,0
106,51,39875.41,3.5,1,0,296.79,536.04,0.013442871183017301,0.007442932875172945,True,239.24999999999994,1,0,0,0,0,0,1,0,0
107,41,39924.09,11.5,1,0,351.03,930.06,0.02329570943257567,0.008792435845125086,True,579.03,0,0,0,0,0,0,1,0,1
108,24,10721.16,3.4,0,0,382.1,546.11,0.05093758511205877,0.035639800170877034,True,164.01,1,0,0,0,0,0,0,0,0
109,50,10995.2,6.1,0,0,351.03,890.23,0.08096533032596041,0.03192574941792782,True,539.2,1,0,0,0,0,0,1,0,1
111,36,13429.19,3.7,0,0,347.04,267.97,0.019954293594773773,0.025842213863978395,False,-79.07,1,0,0,0,0,1,0,0,0
112,18,27453.18,11.5,0,0,306.11,529.2,0.01927645540516618,0.011150256545871918,True,223.09000000000003,0,0,0,0,0,0,0,0,0
113,44,11826.15,10.6,0,0,565.35,848.77,0.07177061004638027,0.047805076039116705,True,283.41999999999996,0,0,0,0,0,0,1,0,1
114,23,25717.07,1.7,0,0,348.19,295.24,0.011480312492830639,0.01353925622164578,False,-52.94999999999999,0,0,0,1,0,0,0,0,0
115,64,14737.68,3.9,1,1,681.96,1329.4,0.09020415696364693,0.0462732261794258,True,647.44,0,1,1,0,0,0,0,1,1
116,33,19894.72,1.5,0,0,301.7,181.45,0.009120510366569622,0.015164827652764149,False,-120.25,1,0,0,1,0,1,0,0,0
117,28,8128.5,2.8,1,0,1018.7,1361.67,0.16751799224949254,0.12532447561050625,True,342.97,0,0,0,0,0,1,0,0,2
118,44,22879.64,1.6,0,0,263.22,394.14,0.017226669650396598,0.011504551645043368,False,130.91999999999996,1,0,0,0,0,0,1,0,0
119,52,40398.54,5.2,1,0,307.09,212.37,0.005256873144425516,0.0076015123318813,False,-94.71999999999997,1,0,1,0,0,0,1,0,0
120,28,11320.65,5.6,0,0,319.43,600.24,0.05302169045063667,0.028216577670010116,True,280.81,1,0,0,0,1,1,0,0,0
121,67,22946.36,4.9,2,0,595.06,1002.7,0.04369756248921398,0.025932653370730693,True,407.6400000000001,1,0,0,0,1,0,0,1,1
122,44,14055.46,7.2,2,0,298.75,421.05,0.029956330137896593,0.02125508521243702,False,122.30000000000001,1,0,0,0,1,0,1,0,0
124,26,20495.41,4.9,1,0,289.33,169.91,0.008290148867478133,0.014116819326863917,False,-119.41999999999999,0,0,1,0,0,1,0,0,0
125,55,16208.62,8.2,0,1,284.88,1238.91,0.07643525482120007,0.017575833106087995,True,954.0300000000001,0,1,1,0,0,0,1,0,0
126,18,21921.825,4.2,0,0,327.07,540.96,0.02467677759493108,0.014919834457213302,True,213.89000000000004,1,0,0,1,0,0,0,0,0
127,47,16762.14,5.4,0,0,319.59,627.61,0.03744211657938664,0.01906618128711489,True,308.02000000000004,1,0,1,0,0,0,1,0,0
128,39,13540.84,0.7,0,0,291.35,309.95,0.02289001273185415,0.02151639041595647,False,18.599999999999966,1,0,0,1,0,1,0,0,0
129,58,15763.68,8.2,0,0,352.0,196.29,0.012452041655248013,0.022329811313094403,False,-155.71,0,0,0,0,1,0,1,0,0
130,46,25582.05,0.5,0,0,400.67,225.38,0.00881008363285976,0.015662153736702104,False,-175.29000000000002,0,0,0,0,0,0,1,0,0
131,39,11231.04,3.0,1,0,551.42,419.72,0.037371427757358175,0.04909785736672649,False,-131.69999999999993,1,0,1,0,0,1,0,0,1
132,49,15087.21,1.6,0,0,622.79,350.59,0.023237563472636755,0.04127933527802689,False,-272.2,0,0,1,0,0,0,1,0,1
133,63,47298.52,11.7,1,0,325.39,615.68,0.013016897780311096,0.006879496440903437,True,290.28999999999996,0,0,0,0,0,0,0,1,0
134,62,12687.8,0.9,0,0,643.02,1152.33,0.09082189189615221,0.05068018096123836,True,509.30999999999995,0,0,1,0,0,0,0,1,1
135,31,28155.2,4.9,1,0,336.74,665.74,0.023645365687333067,0.01196013525032676,True,329.0,0,0,0,0,0,1,0,0,0
136,42,15903.93,4.9,2,0,612.04,579.19,0.03641804258444297,0.03848356978432375,True,-32.84999999999991,0,0,1,0,0,0,1,0,1
137,69,20553.2,0.1,0,1,538.79,995.21,0.04842117042601639,0.026214409435027147,True,456.4200000000001,0,0,0,1,0,0,0,1,1
138,58,26831.61,3.1,1,0,260.76,505.12,0.018825556871168,0.009718388125051013,True,244.36,0,0,1,0,0,0,1,0,0
139,45,21921.825,15.2,0,0,280.02,432.19,0.019715055658002925,0.012773571543427611,False,152.17000000000002,1,0,0,1,0,0,1,0,0
141,45,31200.63,4.9,0,0,347.77,345.09,0.011060353589014067,0.01114624929047907,False,-2.680000000000007,1,0,1,0,0,0,1,0,0
142,56,30194.22,7.2,0,0,588.68,1035.9,0.034307890715507806,0.019496446670919133,True,447.22000000000014,0,1,0,0,1,0,1,0,1
144,23,5238.91,9.1,0,0,269.89,381.99,0.0729140221916391,0.051516441397160856,False,112.10000000000002,1,0,1,0,0,0,0,0,0
145,43,20950.61,2.1,0,0,989.82,898.68,0.042895171071391236,0.04724540240117114,True,-91.1400000000001,0,0,1,0,0,0,1,0,2
146,37,15159.67,16.6,0,0,336.84,179.45,0.011837328912832535,0.022219481030919537,False,-157.39,1,0,1,0,0,1,0,0,0
148,18,39433.45,4.9,0,0,549.21,983.2,0.02493314685882164,0.013927515852658088,True,433.99,1,0,1,0,0,0,0,0,1
150,38,15305.97,0.4,1,0,275.86,451.07,0.02947020018986056,0.018023032842740448,False,175.20999999999998,0,0,0,0,0,1,0,0,0
153,29,28067.47,11.0,0,1,557.68,1377.0,0.0490603534981956,0.01986926502459965,True,819.32,0,0,0,0,0,1,0,0,1
154,26,27222.51,0.6,2,0,596.02,1177.83,0.043266767098258024,0.021894380790015322,True,581.81,1,0,0,0,0,1,0,0,1
155,43,39882.5,8.9,2,0,429.48,335.47,0.008411458659813202,0.010768632859023382,False,-94.00999999999999,0,0,0,0,0,0,1,0,0
156,25,38946.31,4.3,0,0,250.03,392.05,0.010066422210473856,0.006419863653321714,False,142.02,1,0,0,1,0,0,0,0,0
157,31,49399.12,7.4,1,0,283.88,342.62,0.006935751082205513,0.005746661074124397,False,58.74000000000001,1,0,1,0,0,1,0,0,0
158,23,39888.35,1.3,2,0,343.56,529.5,0.0132745525949306,0.008613041151113044,True,185.94,0,0,1,0,0,0,0,0,0
159,21,28479.9,14.3,1,0,608.98,542.25,0.019039743819325206,0.021382799799156596,True,-66.73000000000002,1,0,1,0,0,0,0,0,1
162,42,21921.825,0.1,0,0,247.32,399.37,0.018217917531957308,0.011281907414186547,False,152.05,1,0,1,0,0,0,1,0,0
163,25,20905.66,4.9,0,1,291.56,1310.54,0.06268828633011347,0.013946462345604014,True,1018.98,0,0,0,0,0,0,0,0,0
164,26,24814.53,7.7,2,0,464.84,453.41,0.018271955987076927,0.01873257321416122,False,-11.42999999999995,1,0,0,0,1,1,0,0,1
165,46,49322.67,6.3,1,0,365.75,240.06,0.00486713310532459,0.007415454191754016,False,-125.69,0,0,0,0,0,0,1,0,0
166,39,29020.06,7.0,0,0,269.41,191.29,0.006591647295009038,0.009283578324786372,False,-78.12000000000003,0,0,0,0,0,1,0,0,0
167,37,21921.825,1.6,0,0,338.0,280.07,0.012775852375429508,0.015418424332828128,False,-57.93000000000001,1,0,1,0,0,1,0,0,0
168,41,43054.64,18.8,0,0,284.05,358.22,0.008320125310535637,0.006597430613750342,False,74.17000000000002,1,0,1,0,0,0,1,0,0
169,28,15456.68,3.8,0,0,924.31,1304.99,0.08442886829513194,0.059800034677563355,True,380.68000000000006,0,1,1,0,0,1,0,0,2
170,32,23703.94,6.5,1,0,192.41,131.13,0.005531991727957462,0.008117215956503434,False,-61.28,1,0,1,0,0,1,0,0,0
171,29,23964.46,7.9,0,0,322.1,468.38,0.019544775888962237,0.013440736824447538,False,146.27999999999997,1,0,1,0,0,1,0,0,0
172,30,21921.825,5.3,0,0,293.57,400.96,0.01829044798961765,0.013391677015941874,False,107.38999999999999,0,0,1,0,0,1,0,0,0
173,18,35765.13,8.3,0,0,621.36,596.18,0.016669308905070384,0.0173733466088338,True,-25.180000000000064,1,0,0,0,0,0,0,0,1
174,41,25088.4,2.7,0,0,351.63,373.37,0.014882176623459446,0.014015640694504231,False,21.74000000000001,0,0,0,0,0,0,1,0,0
175,51,42410.63,2.9,0,0,369.78,560.47,0.013215318895286396,0.00871904048584046,True,190.69000000000005,0,0,1,0,0,0,1,0,0
176,37,25338.51,4.7,0,1,351.03,447.41,0.01765731292013619,0.01385361649126172,False,96.38000000000005,0,0,1,0,0,1,0,0,0
178,36,27552.77,5.5,0,0,331.9,385.22,0.013981171403093047,0.012045975776664197,False,53.32000000000005,1,0,1,0,0,1,0,0,0
179,44,8187.39,6.1,0,0,337.4,416.13,0.05082572101732054,0.04120971396256926,False,78.73000000000002,1,0,1,0,0,0,1,0,0
182,27,15884.78,5.0,0,0,297.26,517.61,0.03258527974576922,0.018713510668702995,True,220.35000000000002,0,0,1,0,0,1,0,0,0
183,41,19981.18,13.1,2,0,356.69,418.21,0.020930195313790274,0.017851298071485267,False,61.51999999999998,1,0,1,0,0,0,1,0,0
184,37,18137.57,4.9,0,0,268.66,219.24,0.012087617029183073,0.014812348070882705,False,-49.420000000000016,0,0,0,0,0,1,0,0,0
185,48,31651.72,9.4,0,0,625.81,931.09,0.029416726800312907,0.01977175332019871,True,305.2800000000001,0,0,0,1,0,0,1,0,1
186,37,14172.56,3.7,0,0,205.32,126.33,0.008913703663981667,0.01448714981626467,False,-78.99,1,0,0,0,0,1,0,0,0
188,45,11853.41,4.9,1,0,149.02,205.47,0.017334252337513,0.012571909686748371,False,56.44999999999999,0,0,0,0,0,0,1,0,0
189,40,27950.18,5.6,0,0,325.27,295.06,0.010556640422351484,0.011637492137796607,False,-30.20999999999998,1,0,0,0,0,1,0,0,0
190,31,21921.825,0.0,0,0,283.61,498.87,0.022756773215733633,0.012937335281163862,True,215.26,0,0,1,0,0,1,0,0,0
191,39,11238.09,12.9,0,0,559.04,643.3,0.057242823291146445,0.04974510793204183,True,84.25999999999999,1,0,1,0,0,1,0,0,1
192,41,16458.88,7.0,1,0,348.27,678.8,0.04124217443714274,0.021160006027141576,True,330.53,1,0,1,0,0,0,1,0,0
194,31,20457.6,12.1,2,0,351.96,289.88,0.014169795088377913,0.017204364148287188,False,-62.079999999999984,0,0,0,0,0,1,0,0,0
195,37,14259.35,7.2,0,0,656.27,1204.47,0.0844687871466792,0.046023836991167195,True,548.2,1,0,0,0,0,1,0,0,1
196,38,13345.12,0.1,0,0,288.57,357.62,0.026797810735309985,0.02162363470691908,False,69.05000000000001,1,0,0,1,0,1,0,0,0
197,26,22275.28,7.9,0,0,351.03,804.24,0.03610459666500264,0.015758724469456725,True,453.21000000000004,1,0,0,0,0,1,0,0,1
198,46,29611.17,0.1,0,0,538.04,270.11,0.009121895554954433,0.018170170243188635,False,-267.92999999999995,1,0,1,0,0,0,1,0,1
199,20,24020.69,10.6,0,0,312.2,186.86,0.007779127077531912,0.012997128725278084,False,-125.33999999999997,0,0,1,0,0,0,0,0,0
201,30,28257.41,3.4,1,0,357.01,669.83,0.02370457872819908,0.012634208159912745,True,312.82000000000005,0,0,1,0,0,1,0,0,0
202,34,23762.86,4.9,0,1,219.62,714.23,0.030056567265051428,0.009242153511824756,True,494.61,1,0,1,0,0,1,0,0,0
203,40,7288.62,0.3,0,0,376.67,216.57,0.02971344369716078,0.05167919304340191,False,-160.10000000000002,0,0,0,0,0,1,0,0,0
205,43,27253.67,9.9,0,0,300.96,262.14,0.009618521101928658,0.011042916421898408,False,-38.81999999999999,0,1,1,0,0,0,1,0,0
206,55,26312.69,0.1,0,0,937.48,921.08,0.03500516290808732,0.035628436317229444,True,-16.399999999999977,1,0,1,0,0,0,1,0,2
207,45,21921.825,0.9,0,0,287.65,572.39,0.026110508591323942,0.013121626506917191,True,284.74,1,0,1,0,0,0,1,0,0
208,55,16314.15,6.0,0,0,501.49,744.69,0.04564687709748899,0.030739572702224757,True,243.20000000000005,0,0,0,0,1,0,1,0,1
210,35,34920.35,4.9,0,0,344.34,279.13,0.00799333340015206,0.009860725909104577,False,-65.20999999999998,0,0,0,0,0,1,0,0,0
211,32,27401.95,2.8,1,0,620.21,451.14,0.016463791810436848,0.022633790660883623,False,-169.07000000000005,1,0,0,0,0,1,0,0,1
212,31,21921.825,0.0,0,0,245.64,207.72,0.009475488468683606,0.011205271458922784,False,-37.91999999999999,1,0,0,1,0,1,0,0,0
213,24,30734.97,3.8,0,0,323.13,557.45,0.018137320452891285,0.010513431443076078,True,234.32000000000005,1,0,0,0,0,0,0,0,0
214,30,21921.825,0.6,0,0,620.92,1197.34,0.054618627783042696,0.0283242841323658,True,576.42,0,0,0,0,0,1,0,0,1
215,54,18178.85,5.0,0,0,312.51,544.16,0.029933686674349588,0.017190856407308493,True,231.64999999999998,1,0,0,0,0,0,1,0,0
216,40,28250.64,2.2,2,0,321.98,512.14,0.018128438860146177,0.0113972639203926,True,190.15999999999997,0,0,0,1,0,1,0,0,0
217,47,31187.38,3.4,0,0,642.46,999.38,0.03204437179397564,0.020599999102200953,True,356.91999999999996,1,0,1,0,0,0,1,0,1
218,48,29366.28,0.4,0,0,624.6,830.13,0.02826813610712695,0.02126929253552033,True,205.52999999999997,1,0,0,0,1,0,1,0,1
219,31,31155.29,7.8,1,0,351.03,380.68,0.012218791736491619,0.011267107447884452,False,29.650000000000034,1,0,1,0,0,1,0,0,0
220,33,23663.62,2.6,0,0,568.54,342.56,0.014476229756901101,0.024025909814305673,False,-225.97999999999996,1,0,1,0,0,1,0,0,1
222,26,13649.04,0.5,0,1,288.48,1177.75,0.086288119897077,0.021135552390497792,True,889.27,1,0,0,0,1,1,0,0,0
224,31,19228.95,7.3,0,1,340.57,1353.15,0.07037045704523648,0.017711315490445394,True,1012.5800000000002,0,0,0,0,0,1,0,0,0
225,24,21921.825,1.6,0,0,617.03,686.28,0.03130578772524641,0.028146835402618166,True,69.25,0,0,0,1,0,0,0,0,1
226,44,21352.08,1.5,1,0,998.82,638.18,0.02988842304824635,0.046778580822102574,True,-360.6400000000001,1,0,0,1,0,0,1,0,2
228,28,15595.37,0.5,0,0,571.0,1100.45,0.07056260928724359,0.036613430781058734,True,529.45,1,0,1,0,0,1,0,0,1
229,40,28032.63,9.5,1,0,238.12,251.61,0.008975611635440556,0.008494386720047317,False,13.490000000000009,0,0,0,0,0,1,0,0,0
230,28,11042.18,10.8,0,0,569.71,663.04,0.06004611408254529,0.05159397872521549,True,93.32999999999993,0,0,0,0,0,1,0,0,1
231,58,18150.16,2.5,0,0,297.73,562.91,0.031014051666762164,0.01640371214358441,True,265.17999999999995,0,0,1,0,0,0,1,0,0
232,22,33077.3,0.5,0,0,628.53,418.38,0.012648553539738733,0.019001853234695696,False,-210.14999999999998,1,0,1,0,0,0,0,0,1
233,49,11208.89,12.3,1,0,233.88,451.21,0.040254655010442605,0.02086558080238097,False,217.32999999999998,1,0,0,0,0,0,1,0,0
234,35,14390.11,1.5,2,0,621.0,719.62,0.050007956853700214,0.04315463884570722,True,98.62,0,0,0,0,0,1,0,0,1
235,45,17877.83,4.9,0,0,351.03,744.67,0.041653265524954644,0.01963493332244461,True,393.64,1,0,0,0,0,0,1,0,1
236,29,11739.89,5.1,1,0,231.12,191.67,0.01632638806666843,0.019686726195901325,False,-39.45000000000002,1,0,1,0,0,1,0,0,0
238,26,21921.825,8.2,0,0,301.91,340.83,0.015547519424135535,0.013772119793858404,False,38.91999999999996,1,0,1,0,0,1,0,0,0
239,20,45802.26,2.0,0,0,649.84,1139.93,0.024888073208614598,0.014187946184314923,True,490.09000000000003,1,0,0,0,0,0,0,0,1
240,51,16109.45,4.9,2,0,361.87,670.42,0.041616566673598414,0.02246321258640115,True,308.54999999999995,1,0,1,0,0,0,1,0,0
241,32,16263.03,3.3,2,1,310.56,1073.52,0.06600983949485427,0.01909607250309444,True,762.96,1,0,0,0,0,1,0,0,0
242,30,21921.825,9.0,1,0,632.58,775.53,0.03537707284863372,0.028856174155208338,True,142.94999999999993,1,0,0,0,0,1,0,0,1
